ArmyRef,VarCount,GroupName
I/1,3,EARLY SUMERIAN 3000BC - 2334BC & THE "GREAT REVOLT" CIRCA 2250BC
I/2,2,EARLY EGYPTIAN 3000BC - 1541BC
I/3,1,NUBIAN 3000BC - 1480BC
I/4,4,ZAGROS & ANATOLIAN HIGHLAND 3000BC - 950BC
I/5,4,EARLY SUSIANA & ELAM 3000BC - 800BC
I/6,3,EARLY BEDOUIN 3000BC - 312BC
I/7,4,EARLY LIBYAN 3000BC - 70AD
I/8,3,MAKKAN\, DILMUN\, SABA\, MA'IN & QATABAN 2800BC - 312BC
I/9,1,EARLY SYRIAN 2700BC - 2200BC
I/10,1,MELUKHKHAN & PRE-VEDIC INDIAN 2700BC - 1500BC
I/11,2,AKKADIAN 2334BC - 2193BC & THIRD DYNASTY OF UR 2112BC - 2004BC
I/12,1,SUMERIAN SUCCESSOR STATES 2028BC - 1460BC
I/13,2,HSIA & SHANG CHINESE 2000BC - 1017BC
I/14,7,EARLY NORTHERN BARBARIANS 2000BC - 315BC
I/15,1,LATER AMORITE 1894BC - 1595BC
I/16,1,HITTITE OLD & MIDDLE KINGDOM 1680BC - 1380BC
I/17,2,HYKSOS 1645BC - 1537BC
I/18,1,MINOAN & EARLY MYCENAEAN 1600BC - 1250BC
I/19,1,MITANNI 1595BC - 1274BC
I/20,2,SYRO-CANAANITE OR UGARITIC 1595BC - 1100BC
I/21,2,KASSITE BABYLONIAN & LATER BABYLONIAN 1595BC - 747BC
I/22,2,NEW-KINGDOM EGYPTIAN 1543BC - 1069BC
I/23,2,VEDIC INDIAN 1500BC - 501BC
I/24,2,HITTITE EMPIRE 1380BC - 1180BC
I/25,2,MIDDLE-ASSYRIAN & EARLY NEO-ASSYRIAN 1365BC - 745BC
I/26,2,LATER MYCENAEAN & TROJAN WAR 1250BC - 1190BC
I/27,1,EARLY HEBREW CIRCA 1250BC - 1000BC
I/28,1,SEA PEOPLES 1208BC - 1176BC
I/29,2,PHILISTINE 1166BC - 600BC
I/30,3,DARK-AGE & GEOMETRIC GREEK 1160BC - 650BC
I/31,2,NEO-HITTITE & LATER ARAMAEAN 1100BC - 710BC
I/32,3,WESTERN CHOU & "SPRING & AUTUMN" CHINESE 1100BC - 480BC
I/33,2,VILLANOVAN ITALIAN 1000BC - 650BC
I/34,3,LATER HEBREW 1000BC - 586BC
I/35,4,CYPRIOT & PHOENICIAN 1000BC - 332BC
I/36,4,ITALIAN HILL TRIBES 1000BC - 124BC
I/37,2,MANNAIAN & OTHER TAURUS & ZAGROS HIGHLANDERS 950BC - 610BC
I/38,1,LIBYAN EGYPTIAN 946BC - 712BC
I/39,2,URARTIAN 880BC - 585BC
I/40,1,PHRYGIAN 851BC - 676BC
I/41,2,MEDES\, ZIRKIRTU\, ANDIA & PARSUA 835BC - 550BC
I/42,1,NEO-ELAMITE 800BC - 639BC
I/43,3,KIMMERIAN\, SKYTHIAN & EARLY HU 750BC - 70AD
I/44,2,NEO-BABYLONIAN 746BC - 539BC\, 522BC - 521BC & 482BC
I/45,1,NEO-ASSYRIAN EMPIRE 745BC - 681BC
I/46,3,KUSHITE EGYPTIAN 745BC - 593BC
I/47,1,ILLYRIAN 700BC -10AD
I/48,1,THRACIAN 700BC - 46AD
I/49,4,EARLY VIETNAMESE 700BC - 938AD
I/50,1,LYDIAN 687BC - 540BC
I/51,1,LATER SARGONID ASSYRIAN 680BC - 609BC
I/52,10,EARLY HOPLITE GREEK 669BC - 449BC
I/53,1,SAITIC EGYPTIAN 664BC - 335BC
