Book,Army,Var,Army Name,,Topography,Agg,General,1,2,3,4,5,6,7,8,9,10,Check,,Kn,HCh,Cv,LCh,Cm,LH,LCm,El,SCh,Pk,Sp,Bd,Bw,Lb,Cb,Wb,Hd,Ax,Ps,Art,WWg,CWg,CP,Lit,Enemies,Allies
1,1,a,Early Sumerian Army 3000-2800 BC,a2,Arable,2,3Bd,8x4Bw,3xPs,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"I/1a, 4a, 5a, 6a",I/4a or 5a or 6a
1,1,b,Early Sumerian Army 2799-2334 BC,a2,Arable,2,4Pk or 3Bd or HCh or LCh,1xHCh or 4Bw,6x4Pk,1x4Pk or 4Bw,2xPs,1x3Ax or Ps,,,,,,4,,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"I/1a, 4a, 5a, 5b, 6a, 9, 11a",I/4a or 5a or 5b or 6a or 9
1,1,c,Great Sumerian Revolt Army 2250 BC,a2,Arable,2,HCh or LCh,1xHCh,4x4Pk,2x4Pk or 4Bw,2xPs,2x7Hd or Ps,,,,,,2,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I/11a,I/4a or 5a or 6a or 9 or 10
1,2,a,Early Egyptian Army 3000-1690 BC,l1,Littoral,1,4Bd or Lit,4x4Bw,2x3Bd,1xPs,1x3Bw or Ps,2x7Hd,1xPs,,,,,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"I/2a, 3, 6a, 7a, 9, 15",
1,2,b,Early Egyptian Army 1689-1541 BC,l1,Littoral,1,LCh,4x4Bw,2x3Bd,1xPs,1x3Bw or Ps,2x7Hd,1xPs,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/2b, 3, 17a, 17b",
1,3,,Nubian Army 3000-1489 BC,s1,Steppe,1,3Bw,2x3Wb,8xPs or 3Bw,1xPs,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"I/2a, 2b, 3, 7a, 22a",I/2a
1,4,a,Zagros and Anatolian Highland Army 3000-950 BC,h3,Hilly,3,3Bd or 3/4Bw,6x3Ax/3Wb,3xPs,1xPs,1xPs,,,,,,,2,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"I/1a. 1b, 4a, 5a, 5b, 9, 11a",
1,4,b,"Guti ""Great Revolt"" Army 2250-2112 BC",h3,Hilly,3,LCh or 3Bd,4x3Ax or 3Wb,2x3Bd or 3Ax or 3/4Pk,2x3Bw or 4Bw or 3Pk,2xPs,1xPs,,,,,,2,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"I/5b, 9, 11a, 11b",I/5b or 9 or 11a
1,4,c,Hurrian Army 1780-950 BC,h3,Hilly,3,LCh,5x3Ax,5xPs,1xPs,,,,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/4c, 5c, 5d, 12, 15, 16, 19, 20a, 20b, 21a, 24a, 25a, 31a",
1,4,d,Gasgan Army 1650-950 BC,h3,Hilly,3,LCh or 3Wb,3x3Wb,2x3Ax or 3Wb,5xPs,1xPs,,,,,,,2,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"I/16, 24a, 24b, 28, 31a",
1,5,a,Early Susiana or Elamite Army 3000-2601 BC,a3,Arable,3,3Bw,11x3Bw or Ps,,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"I/1a, 1b, 4a, 10",I/4a
1,5,b,Early Susiana or Elamite Army 2600-2101 BC,a3,Arable,3,3Bw or 3Bd or HCh,1x3Bd or 3Pk,2x4Pk or 4Bw,8x3Bw or Ps,,,,,,,,3,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"I/1b, 4a, 4b, 10, 11a, 11b",I/4a
1,5,c,Early Susiana or Elamite Army 2100-1401 BC,a3,Arable,3,4Bw or 3Bd or LCh,1x3Bd or 4Bw,10x3Bw or Ps,,,,,,,,,3,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"I/4c, 10, 11b, 12, 15, 19, 21a, 23a",I/4c or (6a and or 10) or 12 or 15
